"name","shape","description"
"buildingPermitApproved","buildingPermitApproved","The building permit is approved and objections are handled."
"buildingPermitApplicationPrepared","buildingPermitApplicationPrepared","The building permit application is ready to be submitted"
"architectAssists","architectAssists","An architect is found to assist with the building permit application"
"designAvailable","designAvailable","The design is ready."
"requiredDocumentsAvailable","requiredDocumentsAvailable","Other documents are available"
"architectHasPreliminaryInput","architectHasPreliminaryInput","Architect has input from authority (preliminary)"
"buildingPermitApplicationSubmitted","buildingPermitApplicationSubmitted","The building permit application is submitted to authority"
"preliminaryCheckPassed","preliminaryCheckPassed","The building permit application passed the preliminary checks done bu the authority"
"buildingPermitApplicationSubmitted","buildingPermitApplicationSubmitted","The building permit application is submitted"
"permitOfficerAssigned","permitOfficerAssigned","A permit officer is assigned"
"completenessCheckPassed","completenessCheckPassed","All required documents are submitted"
"formatCheckPassed","formatCheckPassed","All required documents are in the right format"
"administrativeProcessesDone","administrativeProcessesDone","All administrative processes (e.g. Sending reception letter) are done"
"projectRegistered","projectRegistered","The project is registered with the authority's system"
"permittingProcessAnnounced","permittingProcessAnnounced","The permitting process is publicly announced, so neighbours can object"
"contentReviewPassed","contentReviewPassed","The content review passed"
"agenciesAndDepartmentsConsulted","agenciesAndDepartmentsConsulted","Agencies and departments are requested to give statements"
"locatedInCity","locatedInCity","The project is located in the city center"
"agentschapOnroerendErfgoedConsulted","agentschapOnroerendErfgoedConsulted","The 'Agentschap Onroerend Erfgoed' has been consulted"
"departementMobiliteitEnOpenbareWerkenConsulted","departementMobiliteitEnOpenbareWerkenConsulted","The department 'Mobiliteit en Openbare Werken' has been consulted"
"locatedInRuralArea","locatedInRuralArea","The project is located in a rural area"
"departementNatuurEnBosConsulted","departementNatuurEnBosConsulted","The department 'Natuur en Bos' has been consulted"
"ASTRIDveiligheidscommissieConsulted","ASTRIDveiligheidscommissieConsulted","The 'ASTRID' safety commision has been consulted"
"departementLandbouwEnVisserijConsulted","departementLandbouwEnVisserijConsulted","The department 'Landbouw en Visserij' has been consulted"
